S.No,Comments,Label,Unnamed: 3
HATE_1779,maMchi vAgdhATi maMchi  nAyakatva lakShaNAlu unna manasunna nAyakuDu mA raghu anna jai bhIm jai bhArat,non-hate,
HATE_1780,chesina tappu kI pashchAttApaM paDevADini devuDu kachchitaMgA  kShamistADu,non-hate,
HATE_1781,Ycp lo nuvvu chesina èdava pani ki pArTI nuMDi saspèMD chesAru akkaDa taMte ikkaDa paDDAv,hate,
HATE_1782,ninnu pilichi mari pavitramaina padavi òkaTi iste  vènuka nuMDi paTTukuMTA  nuvvu òMgo nenu paiki èkkutA ani nachchinaTTu vAgite èvaDu UrukuMTADu rA  ,hate,
HATE_1783,kòMchaM  kuDA    siggu lekuMDA iMtA dharyaM  gA samAdhAnaM chèppe maniShini  ippuDe chUstunnAM òkko prashna rAD diMpinaTlu aDigAru RK gAru sUpar ,hate,
HATE_1784,kShavaraM ayite gAnI vivaraM tèliyadu lèMDi pRRidhvI gAru,non-hate,
HATE_1785,chAlA saMtoShaM  tappuni tèlusukòni  svachChamaina manasu to mATlADutunnAru maMchi  mArpu,non-hate,
HATE_1786,èvaDo gaTTigA kòTTADemo vènuka nuMDidèbbaki poyina mati tirigòchchiMdiedaitene mIku maLLI maMchi rojulu rAvAli bAbAy,hate,
HATE_1787,AparA nuvvu òka ammAyi to nIchaMgA vyavahariMchi vènaka nuMchi gaTTigA paTTukuMdA manukunnA ani nI character lose chesukunnAv èvaDèM chestADu,hate,
HATE_1788,anna nuvvu ide fire to continue avvu I fake Youtubers and Travellers ni aMtaM chèyyAli vILLa valla èMto maMdi Unique content kriyeTars kanumarugavutunnAru You just keep going bro,non-hate,
HATE_1789,nijAnni nijAyitIgA nirUpiMchaDaM chAlA kaShTaM adi nijAyitIgA unnavADike sAdhyaM nIlo A sattA uMdi nijAyitI uMdi,non-hate,
HATE_1790,I yAM karu gAru  èMta bAguMTAro chèppanalavi kAdu  nAku èMto gauravamu iShTamu Imè iMkA iMkA kanipiMchAlani nAku Asha,non-hate,
HATE_1791,rAja shekhar rèDDemI prajAkShemaM kore gòppa manasunna maniShi kAdu Ayana “mahA meta” ayite Ayana kòDuku jagan taMDrini miMchina “mahA mahA meta”,non-hate,
HATE_1792,jaganmohan rèDDi valla pillalu bAgA chUsukunnADu ani yAMkar vAgu toMdi vALLa pillalni kAka nI pillalu bAgA chUsukuMTAru,hate,
HATE_1793,mI iddariki devuDu saMskAraM ichchina upayogiMchaDamu ledu emaiMdi mIku  alAge jarnalijaM to pATu abaddAlu chèppaDamu kUDA bAgA nèrchAru anni daggaruMDi vinnaTlu chèputunnAru chI chI chI,hate,
HATE_1794,Thq sirchalla chakagaa chayparuu,non-hate,
HATE_1795,Krishnarao garu twozerozeroseven episode marichipoyara viveka resighnation kcr bypole time enduku e dabba kaburulu,hate,
HATE_1796,waste interview vunnappudu oka maata lenappudu okamata,hate,
HATE_1797,Kvp ki telusu jagan wtlanti vaado anduke doiram jarigaadu  karma emitante ap prajalake teliyatam ledu,hate,
HATE_1798,Jagan ni poguthunnava leka mingutunnavaindirect ga jagan secret lu ani cheptunnav,hate,
HATE_1799,mIru chAlA adRRiShTaM vaMtulu mIku devuDu maMchi annanu tammuDu nu ichchAru,non-hate,
HATE_1800,sAr nAgabAbu gAru mIru mI Arthika paristhiti guriMchi AlochistunnAru aMduloni sAMgs nA jIvitAnni òka svargaM lA mArchAyi sAr sUpar hiT sinimA sar ArèMj ippaTivaraku nenu A sAMgs viMTunnAnu mI valla sUpar sUpar nAgabAbu sAr I sinimA nAku phlAp kAdu hiTTu,non-hate,
HATE_1801,ArèMj sUpar mUvI IrojulosUpar hiT ayyedinAkuchAla iShTaMArèMj mUvI,non-hate,
HATE_1802,pavan kaLyAn gAru chiraMjIvi gAru pèrsanal laiph kUDA greT nAgabAbu ni sev chesAru svArthaM kòMta viDanADi,non-hate,
HATE_1803,opèn hArT vit ArkeiMTarvyU aMTe manasulo unnadi baiTaki tIyAli ane udesaM  nijAlu nippu lAMTivi  chAlA thAMks sAr mevalla chAlA viShayAlu nerchukuMTunna ,non-hate,
HATE_1804,RK gAru mIku mI TIM ki danyavAdAlu suti mèttagA prashnalu varNiMchAru  ahaMkAriki ahaMkAraM kAsta tagginaTlu anipistòMdi,non-hate,
HATE_1805,bradar la guriMchi mIru bAgA chèppAru ego lekuMDA chèppAru,non-hate,
HATE_1806,sAr kèsiAr gAru viShayAlanu pUsaguchchinaTlu chèptunnAru mAdhava rèDDi nayIm la saMbaMdhiMchina vivaraMgA mATlADaDAniki ibbaMdi paDutunnAru mIru kUDA haMDrèD parsèMT  phek,hate,
HATE_1807,dilIp chaMdar sAr gAru miru prativiShayAnni vakrIkariMchi chèptunnAru mIru chèptunnA mATallo kònni abaddAlu kòTTòchchinaTTu kanapaDutunnAyi,hate,
HATE_1808,mohan bAbu gAru kònni prashnalaku samAdhAnaM chèppaleka bikkamòhaM veshADu nILlu namulutunnADu,hate,
HATE_1809,nAyakurAlu sinimA nuMDi nenu nAgabAbu abhimAnini mègA bradars aMTe chAlA iShTaM gòppa annadammulu,non-hate,
HATE_1810,rajinIkAMt gArito open heart program chUDAlani uMdi,non-hate,
HATE_1811,Love U Mohan Sir mana batenayyakona sAkShigA mIru kAka iMka èvaru sinI kaLAma tallI ki nijamaina nIrAjanaM paTTe kaLAma talli muddubiDDa mIre,non-hate,
HATE_1812,Minority ayithe vadhileyaala  vaallemayina Nawab laa  vaallakemayina kommulu molachaaya  vaallemayina swargam lonchi oodipaddaara  minorities ki ee special treatment endhiraa,hate,
HATE_1813,Note this point minorities kabatti vadileyandi Ranakeeyanakula ilanti appeasements Valle ivaala minorities jaripe dhamana Kanda lo majority people Bali avtunnaru,hate,
HATE_1814,absconding nayeem and madhav reddy relation gurinchi prathi mata fake cheputhunnadu telusu kani abadham  cheputhunnadu,hate,
HATE_1815,Paritala nu nuvve sampinavu raa nennu gaali vaana devudu sampeedu,hate,
HATE_1816,Assaminchani suryudu ma paritala ravanna champi chindhi nuvu nikodukey andukey ni maranam uhathitham,hate,
HATE_1817,Niku sambhamdam leda anduke ni shavam kuda dorakakunda chesadu god,hate,
HATE_1818,Mahanu baava ela kannavayya ee Basmasurani,hate,
HATE_1819,Arey ysr garu Mee kirAtaka kumAruDu jaggu hastaM onezerozero parsèMT uMdi sIn ayipoyiMdi immediately Bangalore jump aMD akkaDa sèkyUriTI  sibbaMdi haDAviDi kUDA jarigiMdi aMtA afternoon twothreezero pm to fourfourfivepm Kalla bellary nundi escape ani telusu Akkada aa haDAviDi situation lo kòMdaru  jaggu body guards and securities haThAttugA  kaMgArugA akkaDi TrAphik lo struck aie  chala problem tho duty ki reach ayyAraMTa,hate,
HATE_1820,Evaru adigaruu raaaaaaaa ninnu,hate,
HATE_1821,pariTAla ravi anna peru viMTene edo tèliyani  pulakariMta mana sharIraM lojayaho pariTAla maniShi puTTuka onezerozero saMvatsaramu   lu avasaraM leduanna lA òkka roju chAlu,non-hate,
HATE_1822,viluvalu tèlisina maniShi viluvaina maniShi ,non-hate,
HATE_1823,Rayalaseema simham paritala Ravi telugurashtrala devudu NTR but family members of both have utterly failed to carry the legacy of these both in their respective range and categories,hate,
HATE_1824,anaMtapuraM lo puTTinaMduku garvaMgA vuMdi nAdi tADipatri niyojakavargaM shrIrAm annaku oTu vese avakAshaM lenaMduku bAdhagA vuMdi jai pariTAla,non-hate,
HATE_1825,paruchUri gopAla kRRiShNa gAri ki namaste mimmulanu mòdaTisAri bhArgava rAmuDi sinimAlo chUsAnu sUpar vèraiTI yAkShan sAr,non-hate,
HATE_1826,pariTAla shrIrAmulu bhUsvAmulu bhUmulu pedalaku ichcheyAli ani balavaMtaM chèyyaTaM tappu sar Dabbèvariki chedu iste nI bhUmulu ichchuko aMtegAni balavaMtaM gA lAkkovAli anukovaTaM tappu aMduke chachchADu ika pariTAla ravi òka rauDI alATivADi guriMchi mIru chèppaTaM aMTe kulagajji kAkA emiTi di sar bujaM mIda kamyUnisT kaMDuvA vesukuni kAsT phIliMg chUpistunnAru pariTAla ravi anevADu kUDA kamyUnisT rUpaM lo unna òka rauDI aMTe nayIm ki pariTAla ravi ki teDA emi ,hate,
HATE_1827,Johar ravanna Ilanti lavada politics ki meelanti powerful leaders asalu unte  Okkokadu darilo undevadu,hate,
HATE_1828,Bro mee ANCHOING chala chal chala decent gaa untundhi,non-hate,
HATE_1829,nIku asamaMTi anna tammuDu uMDaTaM chAlA chAlA adRRiShTavaMtuDivi anna,non-hate,
HATE_1830,Ravi anna oudi ounte nani vamsi anil kumar ambanti lanti vaalu noru lepevaru kaademo,hate,
HATE_1831,denivallanaShTapoyaDaMTeArèMj sinimAvalla taruvAtapavankaLyAN save chesADu,non-hate,
HATE_1832,mohan babu oppukunna oppukokapoyina chiranjeevi peddankanni vachchina gouravam m taggipodu,hate,
HATE_1833,chiraMjIvi gAru  iShTaM lenappuDu  Ayanato  èMduku vAys  ovar èMduku cheyuMchukunnAru mI sinimAlo,hate,
HATE_1834,Maa nagababu Garu is great person devudu eppudu meethone vuntaru sir,non-hate,
HATE_1835,Chala baga cheparu  nagababu sir help chesena chepukoru meru brothers kosam baga cheparu,non-hate,
HATE_1836,Rajakeeyam lo nenu miku full opposite kani miru mee brothers gurinchi chepthunte na kallu chemarchayi nagababu garu really love you,non-hate,
HATE_1837,rAjakIyAlu emo gAnailAge èppuDU  vu0DAlani AsistunnA,non-hate,
HATE_1838,vALLu vALLu bAne vuMTAru madhyalo phAns chAvakaMDi rA mI amma nAnna kosaM chAvaMDi ok,non-hate,
HATE_1839,RK Garu neku interview cheyadam rakapoty miskuni veray vallaku chance evvandi niku respect evvadam teledu,hate,
HATE_1840,Papam suri ki chala badha vundemo anduke ane sarlu attack chesadu,hate,
HATE_1841,Sethamma vakitlo serimalle chettu  nenu nineth  lo unnappudu vachindhi nen ninetimes chusna ade the best  movie Nadi,non-hate,
HATE_1842,Anduke meeku devudu jabardasth show iccharu varun tej ki anni hits iccharu,non-hate,
HATE_1843,Orange movie Epatiki chusina kothaga untadhi ndhuko thelidhu i love to watch dat movie,non-hate,
HATE_1844,Guruvu garini kalavalekapoyanu ane Chinna baada kakapothe Aayana puttina roje Nenu puttanu naku adoka santhosham Dasari garu vunte ey MAA Elections Kani kotha talent vunnavalani kani Gurthinchi Avakaasham ichevaalu,non-hate,
HATE_1845,Guruji meeku evvaru saatiraaru Johar Dasari gaaru,non-hate,
HATE_1846,Dnr sampadinchalani anukunte today ciniema field lo ewaru sariporu mahanubavudu daring man,non-hate,
HATE_1847,Manchi manasu havabhavalu  ela kavalante  ala palikinche kalamathalli  mudhuu  bidaalu druvatharalu nela  ralaru andhulo  oka mudhuu bidaa  dhasari  garu,non-hate,
HATE_1848,Cinima vallu mottam e  episode chusi aena buddi techukondi tickets rates vishayam lo,hate,
HATE_1849,DNR still old school  Kalam tho Marakapote evaru aina kala gharbham lo kalisipotaru,hate,
HATE_1850,Na guruv gariki padabhi vandananalu,non-hate,
HATE_1851,òrey rAdhAkRRiShNa muMdu èvarini ayinA e Uru èkkaDinuMDi vachchAru aDigAli rA,hate,
HATE_1852,Ni bondha ra  NTR records badhalu kottava,hate,
HATE_1853,Marri nevvu am I pekavu,hate,
HATE_1854,dAsari nArAyaNa ane TaiTil eMTi Arke dAsari nArAyaNa rAvu ani TaiTil pèTTu ikkaDa kUDA nI buddhi chUpistunnAvu,hate,
HATE_1855,Rk gADu bAdha paDutunnADu  lopala èMdukaMTe dAsari kamma kAdu gA,hate,
HATE_1856,ilAMTi vAru mA kannaDa gòppa naTuDu DA rAjakumAr jòtulò òkka sinimA aitè chesi uMTe,non-hate,
HATE_1857,anil kumAr gAridi tappaledu kAnI ilAMTi samasyalu kUDA  rAShTraMlo unnAyi ani bAgA tèliyajesAru,non-hate,
HATE_1858,Reel Life lo jaruguthay anukunnam riyal laiph kuDA jarugutAyani èppuDu tèlisiMde sUpar,non-hate,
HATE_1859,pakkavADu gòppavADu aite ilAMTi èDchukunevAllu èllappuDU èDchukune vuMTAru,hate,
HATE_1860,iTuvaMTi phek kAls chAlAmaMdi chestU uMTAru èvaru nèMbar chèppi ibbaMdi pèDutuMTAru iTuvaMTi vALLaku paina kesu pèTTi lopaTa paDevvAli sAr anil kumAr yAdav gAru èmmèlye deniki taggAlsina avasaraM ledu vALLu èvaro chUsi vALLa paina kaThina charyalu tIsukovAli appuDe nI paina unna machcha tolutuMdi sAr,non-hate,
HATE_1861,èMta klAriTIgA iMta vivaraMgA chèppevADu èvarU leru onezerozero karèkT gA chèppAru,non-hate,
HATE_1862,varma gAru chèppiMdi onezerozero shAtaM nijaM parishramalo jarigedi veru manadAkA vachche viShayaM veru rAMgopAl varma gAru sAmAnyuDiki ardhamayyelA anni chAlA bAgA chèppAru,non-hate,
HATE_1863,mallanna tappudu darlo vellaku oka melu jarigetappudu konni vishayalu oppukovali mana paruvu Manam teesukundam entavaraku correct  Kcr bathroom biryani gurinchi telisi kuda chala mandi peddalu niraharadeeksha ni munduku techaru kada  jarige melu telusukoadi andariki manchidi,hate,
HATE_1864,Ambedkar gari gopathanam gurinchi chepaka ne carector nachindhi mallana good,non-hate,
HATE_1865,Antha vadaina kani awaru aina sare antha dabbu una time osthe anthe only good karma can help you in delaying things anthe,non-hate,
HATE_1866,avasarAla kosaM dArulu tòkke pAtralu ane dAniki udAharaNa Imè jIvitaM,hate,
HATE_1867,nuvvu mahA pativrata vi aMduke anna gAri kuTuMbAnni iMtala vIdhi lo pèTTAvu Same nI lAge A iMTiki vachchina illAlu harikRRiShNa rèMDo bhArya shalini I rojuki kUDA NTR phyAmilI guriMchi òkka iMTarvyU kUDA ivva ledu A mahA illAlu JrNTR talli gAru AviDa chetulu ètti namaskAraM chese arhata gala AviDa,hate,
HATE_1868,devuDu mIda pramANaM chesi aMtA nijaM chèputAmAya leDivi mahammArivi,hate,
HATE_1869,NTR gAri jIvita charitra rAstA ani chèppi Ayana jIvitAnne mArchesAv kade talli  Bad chApTar in NTR laiph,hate,
HATE_1870,NTR film same Lakshmi garu chepinattu tisaru real story Am extra topics add cheyaled Jai RGV NTR story mothm lakshmis ntr lo poorthi ga chupincharu Jai NTR,non-hate,
HATE_1871,edI emainA  vRRidhApyaMlo ntr gAri avasaraM mI jIvitAnni chIkaTi bilaM chesiMdi,non-hate,
HATE_1872,nenu opènahArT vit RK tappaka chUstuMTA  iMta daridrapu iMTarvyU pèTTakuMDA vuMDAlsiMdi  tenè pUsinakatti,hate,
HATE_1873,Devudu lanti manishini cheda dobbataniki anni times kalavataniki try chesava Niku dandam thalli God lanti manishi life history lo oka mark laga unnav,hate,
HATE_1874,harikathalu burrakathalu chèbutAnu ani vachchi  èMta panichesevu,hate,
HATE_1875,Mahanati nuvvu swardaparuraluvianta gowravam unte kuturilamarochukaani kattukonna mogudini vadhilesavumodati mogutu kooda vadelesavswardam kosam NTR garini mabbipatti manchidanila natinchi mosamchesav,hate,
HATE_1876,Sir Meru elanti varitho interview cheyaddu,hate,
HATE_1877,annA nèksT mUvI iMkA gaTTigA kòTTAli Al di bèsT,non-hate,
HATE_1878,Dèvil mUvI kUDA Blockbuster nIkiMkA tappadu digvijayaM naMdamUri three sTArs  jai ènTIAr jai bAlayya jai rAm jai naMdamUri,non-hate,
HATE_1879,Asalu nuvu kothavallani baga support chestavu anna ni movies baga adali,non-hate,
HATE_1880,Interview chesina Murthy gariki naa abhinandanalu chaala samskaaram ga chesaru,non-hate,
HATE_1881,nijaMgA mana naMdamUri phyAns vALLa kosaM prANAlainA istAM kAnI mana hIrolu asalu  manalni  paThiyiMchukoru dIniki  bèsT ,non-hate,
HATE_1882,Ee madya kaalamlo vochina films lo naaku idhi baaga nachindi,non-hate,
HATE_1883,E movie Gurinchi okkadu negative ga matladina vaadu terrorist ayyi undali,non-hate,
HATE_1884,suma nI ovar yAkShan tagiMchuko lekuMTe katha vere,hate,
HATE_1885,dòMgalu dòMgalu kòTTuku  kuMTAru aMTe eMdo anukunnA  adi eMdo Iroju mI asèMblIlo mIru mATlADe mATalu yAvat tèlaMgANa prajalu gamanistunnAru ,hate,
HATE_1886,KCR Vi Anni Commission Padhakaale Kaaleswaram Praject KCR Ku ATM Kaaleswaram Praject Etthipothala Padhakam Kaadhu Thippipothala Padhakam  Raithu Bandhu Raabandhula Bandhu Vandhala Ekaraalu Unnavaariki Raithu Bandhu Esthunnaadu KCR,non-hate,
HATE_1887,ade sIbIai aMTe kacharAlaku èMduku bayaM,hate,
HATE_1888,Nv sakkaga matladutunava KTR TRS lo unnavallu evadu sakkaga matladuthunduuu,hate,
HATE_1889,Telangana vachinde telangana students chanepovadam vallameto kadu trs,hate,
HATE_1890,Sollu vagadam ee sollu brothers komatireddy rajagopal garu nd co bro alavatu KTR very dynamic nd briliiant leader in India,hate,
HATE_1891,doralu antene chathagalu west doralu siguledhu kkr and kcr,hate,
HATE_1892,paddhatula guriMchi mIru mATlADATaM eMTi rA haule keTIr,hate,
HATE_1893,Rajgopal reddy sir miru super,non-hate,
HATE_1894,TRS donga party,hate,
HATE_1895,Rajagopal neeku ethics levu,hate,
HATE_1896,Ktr baluputo matladutundu,hate,
HATE_1897,Aagandi KTR garu mundundi musalla pandaga,hate,
HATE_1898,Arey ktr motham dochukondira me family nasnam aipotharu ra Sochi andi Homa lu cheyandi… me family nasnam aipotharu,hate,
HATE_1899,Hloo ktr garu meru rajagopal Reddy garini Peru petti piliche antha thopa nuvv,hate,
HATE_1900,Nuvu Am speaker ra babu,hate,
HATE_1901,Ktr gudha ninda pogaru,hate,
HATE_1902,Mukuu neelaku raayi raja,hate,
HATE_1903,Oreymeepartychattaparty trs,hate,
HATE_1904,Ttr dongal trs pata leaders,hate,
HATE_1905,Jai ktr Anna ,non-hate,
HATE_1906,Ktr nuvu ni party lo Valasalu avuthai jagatha mundhu mundhu nuvu ni thandri mathatrame Migultharu Nunu chepindhi jaragakapothe voche election lo nike na votu,hate,
HATE_1907,onezerozerors revanth batch chi chi Congress ki deposit kuda radhu,hate,
HATE_1908,vishvak maMchi pani cheshAru Tv ninepichchiki maMchi guNapAThaM chèppAru,non-hate,
HATE_1909,nAgavalli gAri mATa tIrupravartanasariggA lekapovaDaM vallane hIro vishvak alA rIyakT avvAlsi vachchiMdi,non-hate,
HATE_1910,talasAni gAru mAku mI mIda unna gauravaM taggiMchukokaMDi,non-hate,
HATE_1911,devi nagavalli oka dogga munda media medha cheddha peru testhundhi,hate,
HATE_1912,mIDiyA vALLu prajalakosaM pani cheyaMDi mI prayojanAlakosaM sèlèbriTIla vèMbaDi paDite jarige pariNAmAlu ilAne uMTAyi,non-hate,
HATE_1913,Chinna herola mida Chinna cinemala midane mi prathapamDevi is now playing Lady Victim Card  against Viswak AnnaWe All Public should support himStay strong Annawe are therewe will make ur movie to go well,non-hate,
HATE_1914,RGV gAru maMchi klAriTI ga unnAru tera vènaka  pratiòkkarU chesepani Iyana tera muMdu chestunnAru aMte,non-hate,
HATE_1915,TVnine moddalo ethics nijathyi ni memu pattinchamu,hate,
HATE_1916,devi Anni adugu bed room lo evaru first,hate,
HATE_1917,"RK gAru sagaM mIre mATlADestunnAru dayachesi avatalivALLani pUrti gA mATlADanIyaMDi
",non-hate,
HATE_1918,"maMchi naTulu brahmAjI gAru
",hate,
HATE_1919,lanja rhea thana acting appi nijam opukvaali thanu thana moddalo acting,hate,
HATE_1920,rhea dabbu kosam mosali mahesh bhatt modda chickindhi,hate,
HATE_1921,Deepak Kalal Increasing His Haters In To A Fan Day By Day,non-hate,
HATE_1922,tara bhai joginder oka chinal chutiye manishi paniki malina vadu,hate,
HATE_1923,joginderbhoompak ayaega  deepak tante ni pellam puku padutavu,hate,
HATE_1924,Deepak bhai is great great comedian,non-hate,
HATE_1925,tweetenduku kumail najaini  gudda chaal rangaluo vuntadhi kumail enduku mi amma lipstick vunthadhi,hate,
HATE_1926,sofia vegara has a voice like notlo modda erikupoyi vuntadhi,hate,
HATE_1927,ee manishi nirupinchadhu thanu andari entarin cheyaladhu emi bothulu vadakundha,non-hate,
HATE_1928,i hate karan because thana mokkam naku shit kurchuvalani korika,hate,
HATE_1929,karan johar asla modda levadu anta andukey ammaila mataladuthaane vunatru,hate,
HATE_1930,richard jerkins na gudda ni pellam notlo pettali,hate,
HATE_1931,taracy morgan modda oka murgi poyindhi vuntadhi endukuey ante karey gah vuntadhi,hate,
HATE_1932,modI òka praLayaM Ayananu Tach cheste ika aMte pAkisthAn ki ippuDu buddhi vachchinaTTuMdijaimodI,non-hate,
HATE_1933,tom hanks  gudda kompu kodutar manachigah koduko modda,hate,
HATE_1934,shaq modda ante vunnavu ra kevin neku enduku affair,hate,
HATE_1935,gangam style moddalo paata naku mic mokam dengali anipistahdi,hate,
HATE_1936,drake nuvvu daridam gah vuntavu entha ante cude oil chetha inka baguntadhi,hate,
HATE_1937,simon cowell u my frnd nuvvu oka paniki malina modda vi enduku putavu telidhu,hate,
HATE_1938,sia vinadaniki notlo motham petta vuntau padutadhi,hate,
HATE_1939,jennifer aniston nuvvu andari gudda nakutavu,hate,
HATE_1940,courtney oka  poru lanja andari modda nakudhi,hate,
HATE_1941,"karèkT gA sUpar gA samAdhAnaM chèppAru ayyanna pAtruDu gAru
",non-hate,
HATE_1942,kònni AMdhra paMdulaki buradalone ycpAnaMdaMeM chestAM paMdi jAti kadA aTlAge uMTadi,hate,
HATE_1943,chandra babu oka donga na koduku ap ni naisham chesthadhu ,hate,
HATE_1944,roja lanja blue films cheshukonedanvi nuvvu mp enti,hate,
HATE_1945,roja ninnu choosthey nak guddalo edo nakuladhi nuuvu ni barrey guntu,hate,
HATE_1946,jagan policy amma vadi dabbulu veya nanna guda lo nalugdham,hate,
HATE_1947,jagan valla ma jevuthalu modda kuripoyindhi nuvvu kukka modda laga chasthavy lanjakodaka,hate,
HATE_1948,kodali nani  koja na koduku mla lankadhnulu okati levu,hate,
HATE_1949,naku asla courtney cox nachadhu thanu thana moddalo overacting pussyhoecourtney,hate,
HATE_1950,ananaya panadey vi nimma dabbalu lanti payalu,hate,
HATE_1951,baMglAdesh prajala ku vunna j~nAnaM pAlakulaku ledu baMglAdesh pAkisthAn lanu nammi mosaporAdu chesina tèlivitakkuva paniki phalitaM anubhavistunnAru,non-hate,
HATE_1952,ee chetha vedava ku copper dam ante emito telusuna onest adi cheppamanandi,non-hate,
